Start,Start_country,End,End_country,Length_km,Elevation_gain_m,Protection_pct,Total_roads,Roads_perkm
Ampiyacu Apayacu,PERU,Alto Fragua Indi Wasi,COLOMBIA,762.8726758,2637,36.98892123,4,0.005243339
Huimeki,COLOMBIA,Alto Fragua Indi Wasi,COLOMBIA,333.8056634,2567,51.90997486,2,0.00599151
Maijuna Kichwa,BRAZIL,Alto Fragua Indi Wasi,COLOMBIA,722.150432,2637,33.58843608,3,0.004154259
Amacayacu,PERU,Alto Fragua Indi Wasi,COLOMBIA,1113.923296,2685,30.7153048,2,0.001795456
Güeppi-Sekime,COLOMBIA,Alto Fragua Indi Wasi,COLOMBIA,322.5836288,2560,31.82139616,2,0.006199943
Hacienda Villa Mery,PERU,Alto Fragua Indi Wasi,COLOMBIA,72.73128419,2509,85.13672505,7,0.096244691
Parque Natural Municipal Da Ronda,COLOMBIA,Alto Fragua Indi Wasi,COLOMBIA,115.9594155,2510,74.63416135,2,0.017247414
Hacienda Esmeraldas,PERU,Alto Fragua Indi Wasi,COLOMBIA,165.1703894,2535,60.18038742,8,0.048434832
Airo Pai,PERU,Alto Fragua Indi Wasi,COLOMBIA,376.5597831,2560,43.46029197,2,0.005311242
Yaguas,ECUADOR,Alto Fragua Indi Wasi,COLOMBIA,941.4575747,2685,26.79319515,2,0.002124366
La Paya,BRAZIL,Alto Fragua Indi Wasi,COLOMBIA,283.7832104,2554,42.23898057,2,0.007047633
Amarakaeri,BRAZIL,Amarakaeri,PERU,83.78225099,2542,99.70974473,1,0.011935702
LosAmigos,PERU,Amarakaeri,PERU,149.6703894,2629,75.83043604,3,0.020044045
Knoya - Supru,COLOMBIA,Amarakaeri,PERU,365.3311468,2614,38.98498012,4,0.010948971
Floresta Nacional De São Francisco,COLOMBIA,Amarakaeri,PERU,537.1821495,2683,38.47356201,5,0.00930783
Reserva Extrativista Chico Mendes,PERU,Amarakaeri,PERU,458.9354324,2639,50.05778893,5,0.010894779
Tambopata,PERU,Bahuaja - Sonene,PERU,163.2277488,2351,99.56407148,0,0
Reserva Extrativista Do Médio Purús,BRAZIL,Bahuaja - Sonene,PERU,965.0331014,2463,15.55809398,4,0.004144936
Floresta Nacional Do Iquiri,BRAZIL,Bahuaja - Sonene,PERU,742.564018,2433,10.75481694,2,0.00269337
Área De Proteção Ambiental Lago Do Amapá,PERU,Bahuaja - Sonene,PERU,613.2328204,2417,11.72925829,2,0.003261404
Floresta Nacional De Purus,COLOMBIA,Bahuaja - Sonene,PERU,898.0517739,2443,41.24163049,14,0.015589302
El Dorado,PERU,Bahuaja - Sonene,PERU,276.8038164,2384,32.32461893,0,0
Área De Proteção Ambiental Igarapé São Francisco,PERU,Bahuaja - Sonene,PERU,624.9607425,2404,15.21434727,5,0.008000503
Reserva Extrativista Arapixi,BRAZIL,Bahuaja - Sonene,PERU,811.5038375,2446,42.74323872,15,0.018484201
Ebio Kiabamene,BRAZIL,Bahuaja - Sonene,PERU,169.6159739,2362,99.11181033,0,0
Bahuaja - Sonene,ECUADOR,Bahuaja - Sonene,PERU,114.6339321,2315,99.38123842,0,0
Área De Relevante Interesse Ecológica Seringal Nova Esperança,PERU,Bahuaja - Sonene,PERU,475.7513703,2394,9.662317261,1,0.002101938
Tambopata Eco Lodge,BRAZIL,Bahuaja - Sonene,PERU,159.9887661,2360,98.20425364,0,0
Tuntanain,BRAZIL,Cerro Plateado,ECUADOR,141.8324169,2667,18.21612691,0,0
Cayambe Coca,ECUADOR,Cofán Bermejo,ECUADOR,52.6648845,2498,64.86839216,4,0.075951937
Cofán Bermejo,PERU,Cofán Bermejo,ECUADOR,40.95828278,2625,98.13388626,0,0
El Sira,BRAZIL,Cordillera Azul,PERU,235.447258,2423,16.56733734,8,0.033977886
Imiria,PERU,Cordillera Azul,PERU,315.6466663,2442,31.40952727,9,0.028512894
Parque Nacional Da Serra Do Divisor,PERU,Cordillera Azul,PERU,398.9739967,2461,35.69925951,4,0.010025716
Área De Relevante Interesse Ecológico Japiim Pentecoste,PERU,Cordillera Azul,PERU,489.5510745,2461,44.99703162,1,0.002042688
Sierra del Divisor,COLOMBIA,Cordillera Azul,PERU,295.1620992,2477,29.41803393,2,0.006775938
Cordillera Azul,BRAZIL,Cordillera Azul,PERU,51.56610383,2323,100,0,0
Estação Ecológica Juami-Japurá,COLOMBIA,Cordillera de los Picachos,COLOMBIA,1106.351427,3511,48.1241399,8,0.007230975
Estação Ecológica De Jutaí-Solimões,COLOMBIA,Cordillera de los Picachos,COLOMBIA,1439.00068,3518,56.11829191,7,0.004864487
Tinigua,BRAZIL,Cordillera de los Picachos,COLOMBIA,121.0606348,3277,100,1,0.008260323
Casco Central de la Ciudad de Maracaibo,BRAZIL,Cordillera de los Picachos,COLOMBIA,358.9796749,3364,93.64010145,5,0.013928365
Cordillera de los Picachos,PERU,Cordillera de los Picachos,COLOMBIA,67.58448045,3198,100,0,0
Parque Natural Municipal Das Sucupiras,BRAZIL,Cordillera de los Picachos,COLOMBIA,210.6985207,3324,100,2,0.009492236
Área De Relevante Interesse Ecológica Javari Buriti,PERU,Cordillera de los Picachos,COLOMBIA,1222.686636,3516,60.7852516,8,0.006542968
Reserva Extrativista Do Rio Jutaí,BRAZIL,Cordillera de los Picachos,COLOMBIA,1359.222429,3515,70.66300521,8,0.005885718
Yaigoje Apaporis,BRAZIL,Cordillera de los Picachos,COLOMBIA,761.3658649,3471,53.17939694,8,0.010507432
Estancias Elsner Espírir,PERU,Cotapata,BOLIVIA,364.2836288,3530,6.772106074,3,0.008235341
del Río Abiseo,VENEZUELA,del Río Abiseo,PERU,58.6058008,3094,98.866471,1,0.017063157
Ichigkat Muja - Cordillera del Cóndor,BRAZIL,Ichigkat Muja - Cordillera del Cóndor,PERU,75.40651506,2448,21.8982931,0,0
Zona de Interés Turístico y de Utilidad Pública Punta Cabo Blanco - Punta Cazonero (Playa El Agua),ECUADOR,Ichigkat Muja - Cordillera del Cóndor,PERU,142.541248,2505,94.83360888,0,0
Alto Nanay-Pintuyacu-Chambira,PERU,Ichigkat Muja - Cordillera del Cóndor,PERU,670.9251219,2547,44.52060069,1,0.001490479
Megantoni,COLOMBIA,Machiguenga,PERU,96.92438662,2815,80.41039085,1,0.010317321
Floresta Nacional De Mapiá-Inauiní,ECUADOR,Megantoni,PERU,713.5134696,3195,83.53385677,6,0.008409091
Reserva Extrativista Do Cazumbá-Iracema,BOLIVIA,Megantoni,PERU,461.7108725,3126,94.21889776,2,0.004331715
Parque Nacional del Manu,PERU,Megantoni,PERU,97.04398257,2947,100,0,0
Estação Ecológica Rio Acre,COLOMBIA,Megantoni,PERU,291.472864,3014,55.14785935,1,0.003430851
Floresta Nacional De Santa Rosa Do Purus,BOLIVIA,Megantoni,PERU,486.0510745,3090,84.77501394,2,0.004114794
Reserva De Desenvolvimento Sustentável Cujubim,BRAZIL,Megantoni,PERU,1135.106557,3222,52.50219305,3,0.002642924
Reserva Extrativista Do Rio Gregório,COLOMBIA,Megantoni,PERU,789.0526615,3142,65.51408664,3,0.003802028
Floresta Nacional De Macauã,PERU,Megantoni,PERU,425.8219331,3106,82.71879665,5,0.011741997
Alto Purus,PERU,Megantoni,PERU,256.1788381,2997,100,0,0
Reserva De Desenvolvimento Sustentável Uacarí,BRAZIL,Megantoni,PERU,1088.707863,3265,37.52778597,3,0.00275556
Purus,VENEZUELA,Megantoni,PERU,354.6872868,3034,99.5685526,0,0
Reserva Extrativista Médio Juruá,BRAZIL,Megantoni,PERU,1152.160258,3240,43.11024139,5,0.004339674
Parque Estadual Chandless,BRAZIL,Megantoni,PERU,411.8126835,3113,100,4,0.009713154
Serrania de Chiribiquete,BRAZIL,Miraflores Picachos,COLOMBIA,490.2822361,2700,73.31154289,5,0.010198208
Cahuinari,BRAZIL,Miraflores Picachos,COLOMBIA,875.3474016,2820,76.5006614,7,0.007996825
Rio Pure,PERU,Miraflores Picachos,COLOMBIA,983.1006338,2841,69.86154694,7,0.007120329
Reserva Extrativista Do Alto Tarauacá,BRAZIL,Otishi,PERU,490.0581813,2621,29.41994122,2,0.004081148
Asháninka,BRAZIL,Otishi,PERU,108.5677416,2466,79.93408528,0,0
Reserva Extrativista Riozinho Da Liberdade,PERU,Otishi,PERU,596.9406415,2698,39.31652143,4,0.006700834
Machiguenga,BRAZIL,Otishi,PERU,51.34356416,2447,71.79890214,0,0
Reserva Extrativista Alto Juruá,PERU,Otishi,PERU,460.9123876,2638,24.56455875,2,0.004339219
Sierra de la Macarena,ECUADOR,Parque Natural Municipal Das Sucupiras,BRAZIL,289.6322436,3266,99.54099882,3,0.010357963
Cuyabeno,ECUADOR,Plantas Medicinales Orito Ingi Ande,COLOMBIA,268.997929,2590,38.73264157,16,0.059480012
Pucacuro,BRAZIL,Sangay,ECUADOR,519.9150355,2642,18.58715643,16,0.030774259
Serrania de los Churumbelos  Auka Wasi,BRAZIL,Serrania de los Churumbelos  Auka Wasi,COLOMBIA,54.6920923,2450,98.43523761,0,0
Complejo de Humedales Cuyabeno Lagartococha Yasuní,PERU,Sumaco Napo-Galeras,ECUADOR,296.4305192,2895,59.91749429,14,0.047228605
Yasuní,PERU,Sumaco Napo-Galeras,ECUADOR,310.5353965,2891,36.13512772,16,0.051523917
Sumaco Napo-Galeras,BRAZIL,Sumaco Napo-Galeras,ECUADOR,60.95016588,2707,99.51091262,0,0
Limoncocha,COLOMBIA,Sumaco Napo-Galeras,ECUADOR,168.9260244,2878,27.89614424,71,0.42030232
Serrania La Lindosa - Angosturas II,BRAZIL,Sumapaz,COLOMBIA,436.9658798,3288,98.87749823,6,0.013731049
Nukak,BRAZIL,Sumapaz,COLOMBIA,665.9209589,3294,82.02726187,6,0.009010078
Puinawai,PERU,Sumapaz,COLOMBIA,1021.352401,3319,69.73369552,6,0.005874564
Área De Proteção Ambiental Tapuruquara,PERU,Sumapaz,COLOMBIA,1313.378166,3393,43.81833483,9,0.006852558
Reserva De Desenvolvimento Sustentável Mamirauá,BRAZIL,Sumapaz,COLOMBIA,1526.298832,3415,57.59912001,7,0.004586258
Rio Negro,PERU,Sumapaz,COLOMBIA,1295.834811,3402,50.16083672,8,0.006173626
Área De Proteção Ambiental De Upaon-Açu / Miritiba / Alto Preguiças,PERU,Sumapaz,COLOMBIA,487.3508653,3285,95.74676164,11,0.022571007
Laguna de Lomalinda,PERU,Sumapaz,COLOMBIA,445.4080154,3261,92.99031197,9,0.020206192
Pacaya - Samiria,COLOMBIA,Vista Alegre-Omia,PERU,412.3617167,3138,31.62942162,6,0.014550332
Cordillera Escalera,PERU,Vista Alegre-Omia,PERU,179.1041989,3027,20.29143866,6,0.033500052
Allpahuayo  Mishana,BRAZIL,Vista Alegre-Omia,PERU,674.6299992,3166,47.95982279,9,0.013340646
Comunal Tamshiyacu Tahuayo,PERU,Vista Alegre-Omia,PERU,725.8662474,3177,46.12511374,7,0.00964365
Matsés,BRAZIL,Vista Alegre-Omia,PERU,606.8700787,3148,22.34859183,7,0.011534594
Yanachaga-Chemillén,COLOMBIA,Yanachaga-Chemillén,PERU,25.45756852,3041,100,1,0.039281049
de San Matías - San Carlos,COLOMBIA,Yanachaga-Chemillén,PERU,75.08691911,3170,66.54903444,2,0.026635798
Yanesha,PERU,Yanachaga-Chemillén,PERU,33.03279938,3053,97.69006804,1,0.030272941
